Date;Experiment;Phase;NH4_avg
2007-01-29;Column 6;2;1396.51
2007-03-14;Column 6;2;1608.52
2007-07-02;Column 6;2;2049.77
2006-03-08;Column 7;2;320.48
2006-03-13;Column 7;2;1161.5
2006-03-20;Column 7;2;1052.07
2006-03-27;Column 7;2;1460.73
2006-04-04;Column 7;2;1250.37
2006-04-18;Column 7;2;1509.7
2006-04-24;Column 7;2;1502.89
2006-05-01;Column 7;2;1509.09
2006-05-08;Column 7;2;2119.28
2006-05-16;Column 7;2;1874.3
2006-06-12;Column 7;2;2062.3
2006-06-19;Column 7;2;2365.57
2006-06-22;Column 7;2;1929.71
2006-06-27;Column 7;2;2574.59
2006-06-29;Column 7;2;2013.11
2006-07-03;Column 7;2;2292.9
2006-07-10;Column 7;2;2793.9
2006-07-17;Column 7;2;2664.79
2006-07-24;Column 7;2;2531.92
2006-07-31;Column 7;2;2839.12
2006-08-07;Column 7;2;2768.08
2006-08-14;Column 7;2;2892.25
2006-08-21;Column 7;2;3085.45
2006-08-28;Column 7;2;2995.54
2006-09-11;Column 7;2;2514.16
2006-09-18;Column 7;2;2624.78
2006-09-25;Column 7;2;2543.95
2006-10-09;Column 7;2;2672.12
2006-10-16;Column 7;2;2048.38
2006-10-23;Column 7;2;2729.87
2006-10-30;Column 7;2;2653.1
2006-11-06;Column 7;2;2723.23
2006-11-13;Column 7;2;2539.6
2006-11-20;Column 7;2;2477.43
2006-11-27;Column 7;2;2442.3
2006-12-04;Column 7;2;2775.52
2006-12-11;Column 7;2;4036.58
2006-12-23;Column 7;2;1919.91
2007-01-03;Column 7;2;1638.94
2007-01-09;Column 7;2;1594.69
2007-01-29;Column 7;2;1751.67
2007-03-14;Column 7;2;2051.75
2007-07-02;Column 7;2;2332.88
2006-03-08;Column 8;2;1126.16
2006-03-13;Column 8;2;1476.4
2006-03-20;Column 8;2;1197.32
2006-03-27;Column 8;2;1558.39
2006-04-04;Column 8;2;1552.84
2006-04-18;Column 8;2;2041.35
2006-04-24;Column 8;2;2021.49
2006-05-01;Column 8;2;2004.96
2006-05-08;Column 8;2;1661.45
2006-05-16;Column 8;2;2413.65
2006-06-12;Column 8;2;2355.33
2006-06-19;Column 8;2;2599.18
2006-06-22;Column 8;2;2391.8
2006-06-27;Column 8;2;2886.07
2006-06-29;Column 8;2;3517.21
2006-07-03;Column 8;2;2305.19
2006-07-10;Column 8;2;2958.22
2006-07-17;Column 8;2;2784.51
2006-07-24;Column 8;2;2600
2006-07-31;Column 8;2;2884.51
2006-08-07;Column 8;2;2965.26
2006-08-14;Column 8;2;2872.3
2006-08-21;Column 8;2;2648.83
2006-08-28;Column 8;2;3146.95
2006-09-11;Column 8;2;4170.13
2006-09-18;Column 8;2;2165.71
2006-09-25;Column 8;2;2361.06
2006-10-09;Column 8;2;1676.55
2006-10-16;Column 8;2;2803.54
2006-10-23;Column 8;2;2372.57
2006-10-30;Column 8;2;2105.9
2006-11-06;Column 8;2;2092.7
2006-11-13;Column 8;2;1999.12
2006-11-20;Column 8;2;2057.08
2006-11-27;Column 8;2;2269.73
2006-12-04;Column 8;2;2333.04
2006-12-11;Column 8;2;3223.89
2006-12-23;Column 8;2;1864.6
2007-01-03;Column 8;2;2262.83
2007-01-09;Column 8;2;1782.74
2007-01-29;Column 8;2;2285.88
2007-03-14;Column 8;2;2169.65
2007-07-02;Column 8;2;2136.53
